artist,stage,start_time,end_time
Subtronics,Ubbi’s Stage,10:45:00 PM,12:00:00 AM
Seven Lions,Ubbi’s Stage,09:25:00 PM,10:35:00 PM
Adventure Club,Ubbi’s Stage,08:00:00 PM,09:15:00 PM
Bou,Ubbi’s Stage,07:00:00 PM,08:00:00 PM
Level Up,Ubbi’s Stage,06:00:00 PM,07:00:00 PM
Basstripper B2B Sota,Ubbi’s Stage,05:00:00 PM,06:00:00 PM
Lumasi,Ubbi’s Stage,04:10:00 PM,05:00:00 PM
Tamashi,Ubbi’s Stage,03:00:00 PM,04:10:00 PM
What So Not,Dubbi’s Stage,10:45:00 PM,12:00:00 AM
Daily Bread,Dubbi’s Stage,09:30:00 PM,10:45:00 PM
Gorillat,Dubbi’s Stage,08:30:00 PM,09:30:00 PM
Ahee,Dubbi’s Stage,07:30:00 PM,08:30:00 PM
Canabliss,Dubbi’s Stage,06:40:00 PM,07:30:00 PM
Zen Selekta,Dubbi’s Stage,05:50:00 PM,06:40:00 PM
WokyWilla,Dubbi’s Stage,05:00:00 PM,05:50:00 PM
Common Creation,Dubbi’s Stage,04:00:00 PM,05:00:00 PM
SaraTonin,Dubbi’s Stage,03:00:00 PM,04:00:00 PM
Kindred,Zoom Room,10:45:00 PM,12:00:00 AM
Riot Ten,Zoom Room,09:30:00 PM,10:45:00 PM
Whipped Cream,Zoom Room,08:30:00 PM,09:30:00 PM
Beauz,Zoom Room,07:30:00 PM,08:30:00 PM
Skybreak,Zoom Room,06:30:00 PM,07:30:00 PM
Neotek,Zoom Room,05:30:00 PM,06:30:00 PM
Skyler,Zoom Room,04:30:00 PM,05:30:00 PM
Hazea,Zoom Room,03:00:00 PM,04:30:00 PM
,,,
Fisher,Ubbi’s Stage,08:30:00 PM,10:00:00 PM
Dombresky B2B Patrick Topping,Ubbi’s Stage,07:15:00 PM,08:30:00 PM
Dimension,Ubbi’s Stage,06:15:00 PM,07:15:00 PM
Dr. Fresch,Ubbi’s Stage,05:15:00 PM,06:15:00 PM
Sunday Scaries,Ubbi’s Stage,04:25:00 PM,05:15:00 PM
Mattilo,Ubbi’s Stage,03:35:00 PM,04:25:00 PM
Tubbi,Ubbi’s Stage,03:00:00 PM,03:35:00 PM
Boogie T B2B Dirt Monkey,Dubbi’s Stage,09:00:00 PM,10:00:00 PM
Inzo,Dubbi’s Stage,08:00:00 PM,09:00:00 PM
Borgore,Dubbi’s Stage,07:00:00 PM,08:00:00 PM
Hvdes,Dubbi’s Stage,06:10:00 PM,07:00:00 PM
Eddie,Dubbi’s Stage,05:20:00 PM,06:10:00 PM
Brux,Dubbi’s Stage,04:30:00 PM,05:20:00 PM
Zoska,Dubbi’s Stage,03:40:00 PM,04:30:00 PM
Mad Muffinz,Dubbi’s Stage,03:00:00 PM,03:40:00 PM
Lil Texas,Zoom Room,08:45:00 PM,10:00:00 PM
Gravedgr,Zoom Room,07:45:00 PM,08:45:00 PM
Jstjr,Zoom Room,06:45:00 PM,07:45:00 PM
Yosuf,Zoom Room,05:45:00 PM,06:45:00 PM
Dead X,Zoom Room,04:55:00 PM,05:45:00 PM
Aych,Zoom Room,03:00:00 PM,04:05:00 PM
