artist,stage,start_time,end_time,day,image_url
"Subtronics","Ubbi’s Stage","10:45 PM","12:00 AM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2024/11/5e37ce5c-2023press-86.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Seven Lions","Ubbi’s Stage","9:25 PM","10:35 PM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2025/01/665cda55-042224_sevenlions_portraits_dsm-7.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Adventure Club","Ubbi’s Stage","8:00 PM","9:15 PM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2024/11/d59181f0-ac-press-photo-new-priority-use.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Bou","Ubbi’s Stage","7:00 PM","8:00 PM","Saturday",""
"Level Up","Ubbi’s Stage","6:00 PM","7:00 PM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2024/11/2eaf7dd6-2023press-157.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Basstripper B2B Sota","Ubbi’s Stage","5:00 PM","6:00 PM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2024/11/99120408-photo-14-02-2024-18-48-43.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Lumasi","Ubbi’s Stage","4:10 PM","5:00 PM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2025/01/461ac2dc-preferred-lumasi-press-shots-x-huck-film-41-1.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Tamashi","Ubbi’s Stage","3:00 PM","4:10 PM","Saturday",""
"What So Not","Dubbi’s Stage","10:45 PM","12:00 AM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2025/01/ee0af946-wsn-motions-ep-lead-press-shot-shot-by-@brendancphoto-styled-by-.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Daily Bread","Dubbi’s Stage","9:30 PM","10:45 PM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2025/01/4ef8f053-tourpressphoto_db_@brizzzzzle.jpeg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Gorillat","Dubbi’s Stage","8:30 PM","9:30 PM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2025/01/04feee12-3000x-gorillat_vah3_r5_78606.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Ahee","Dubbi’s Stage","7:30 PM","8:30 PM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2024/11/60e82d73-ahee_portrait_3000x3000.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Canabliss","Dubbi’s Stage","6:40 PM","7:30 PM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2024/11/236dd038-canabliss_newpress1copy.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Zen Selekta","Dubbi’s Stage","5:50 PM","6:40 PM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2025/01/71541331-zen-selekta_press-22.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Wonkywilla","Dubbi’s Stage","5:00 PM","5:50 PM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2024/11/122119e0-wonkywillabl-07.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Common Creation","Dubbi’s Stage","4:00 PM","5:00 PM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2025/01/0e1be70b-common-creation.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Saratonin","Dubbi’s Stage","3:00 PM","4:00 PM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2025/03/ba65e744-saratonin-press-pic-2.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Kindred","Zoom Room","10:45 PM","12:00 AM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2025/03/33b182cc-481761437_18386507812110041_9141689133754967539_n.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Riot Ten","Zoom Room","9:30 PM","10:45 PM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2024/11/4f36eaea-abr59706-edit-copy.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
